osmid,y,x,street_count,highway,geometry
1026912973,23.0968898,-82.3666633,4,,POINT (-82.3666633 23.0968898)
1026965117,23.0178796,-82.391777,1,,POINT (-82.391777 23.0178796)
1026965126,23.0180927,-82.3938901,4,,POINT (-82.39389009999999 23.0180927)
1026965129,23.0186711,-82.3949668,3,,POINT (-82.39496680000001 23.0186711)
1026965135,23.0170704,-82.3959997,4,,POINT (-82.3959997 23.0170704)
1026965141,23.0124023,-82.3928983,3,,POINT (-82.3928983 23.0124023)
1026965144,23.0167863,-82.395508,3,,POINT (-82.39550800000001 23.0167863)
1026965145,23.0153715,-82.3967357,3,,POINT (-82.39673569999999 23.0153715)
1026965147,23.0141791,-82.396052,3,,POINT (-82.396052 23.0141791)
1026965150,23.0183921,-82.3944569,4,,POINT (-82.39445689999999 23.0183921)
1026965151,23.0209106,-82.3928374,3,,POINT (-82.3928374 23.0209106)
1026965152,23.0164584,-82.39495,4,,POINT (-82.39494999999999 23.0164584)
1026965153,23.0174447,-82.3927644,4,,POINT (-82.3927644 23.0174447)
1026965164,23.0177718,-82.3933097,4,,POINT (-82.3933097 23.0177718)
1026965168,23.0158556,-82.3938043,4,,POINT (-82.3938043 23.0158556)
1026965171,23.0143563,-82.3955134,3,,POINT (-82.3955134 23.0143563)
1026965174,23.0161377,-82.3943558,4,,POINT (-82.3943558 23.0161377)
1026965182,23.0208714,-82.3921161,3,,POINT (-82.3921161 23.0208714)
1026965184,23.0156897,-82.3939288,3,,POINT (-82.3939288 23.0156897)
1026965186,23.0149409,-82.3936715,4,,POINT (-82.3936715 23.0149409)
1026965187,23.0131115,-82.3888569,1,,POINT (-82.38885689999999 23.0131115)
1026965189,23.0155697,-82.3932515,4,,POINT (-82.39325150000001 23.0155697)
1026965192,23.017436,-82.3957677,3,,POINT (-82.39576769999999 23.017436)
1026965195,23.0171487,-82.392225,4,,POINT (-82.392225 23.0171487)
1034372656,23.0998935,-82.4229006,4,,POINT (-82.42290060000001 23.0998935)
1034372658,23.1009893,-82.4232628,4,,POINT (-82.4232628 23.1009893)
1034372668,23.1002577,-82.4225001,4,,POINT (-82.42250009999999 23.1002577)
1034372670,23.0994871,-82.4216946,3,,POINT (-82.4216946 23.0994871)
1037066184,23.1443546,-82.358531,4,,POINT (-82.358531 23.1443546)
1037066185,23.1442906,-82.3593994,3,,POINT (-82.3593994 23.1442906)
1044362927,23.1667564,-82.222654,3,,POINT (-82.22265400000001 23.1667564)
